SMILES,"Ered(V)",Number of Heavy Atoms,TPSA,"MW of Heavy Atoms, g/mol",Batch,Class
Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,1.27,20,35.50000000000001,270.25600000000003,Initial,Other BzNSNs
CCN1CCN(CCOC)c2c1cc1nsnc1c2C,1.27,20,41.49,272.248,Initial,Other BzNSNs
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.24,20,44.290000000000006,270.25600000000003,Initial,Other BzNSNs
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,1.22,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.2,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.39,20,44.290000000000006,270.256,Initial,Other BzNSNs
CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,1.22,21,44.290000000000006,282.267,Initial,Other BzNSNs
Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.27,19,32.260000000000005,256.24899999999997,Initial,Other BzNSNs
CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,1.28,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.24,21,44.290000000000006,282.267,Initial,Other BzNSNs
CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.26,19,32.260000000000005,256.24899999999997,Initial,Other BzNSNs
CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.22,19,44.290000000000006,258.245,Initial,Other BzNSNs
CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,1.18,20,44.290000000000006,270.25600000000003,Initial,Other BzNSNs
CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.23,20,44.290000000000006,270.256,Initial,Other BzNSNs
CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.14,20,44.290000000000006,270.25600000000003,Initial,Other BzNSNs
CCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.26,19,44.290000000000006,258.245,Initial,Other BzNSNs
CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,1.24,20,44.290000000000006,270.256,Initial,Other BzNSNs
CC(C)N1c2cc3nsnc3cc2CC1C,1.29,16,29.020000000000003,218.21999999999997,Initial,Other BzNSNs
CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.35,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CCN1CCN(CC)c2c1cc1nsnc1c2NC,1.27,19,44.290000000000006,258.245,Initial,Other BzNSNs
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.49,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,1.3,21,44.290000000000006,282.267,Initial,Other BzNSNs
CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.08,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,1.19,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.18,20,44.290000000000006,270.25600000000003,Initial,Other BzNSNs
CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,1.35,21,53.52000000000001,286.25500000000005,Initial,Other BzNSNs
CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.36,21,44.290000000000006,282.26700000000005,Initial,Other BzNSNs
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,1.38,21,32.260000000000005,280.2710000000001,Initial,Other BzNSNs
CNc1c2c(cc3nsnc13)N(C)CCC2,1.28,16,41.050000000000004,220.21599999999998,Initial,Other BzNSNs
CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,1.37,20,44.290000000000006,270.25600000000003,Initial,Other BzNSNs
CCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.23,19,44.290000000000006,258.245,Initial,Other BzNSNs
CCCN1CCN(CC)c2c1cc1nsnc1c2C,1.23,19,32.260000000000005,256.249,Initial,Other BzNSNs
CCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.24,19,44.290000000000006,258.245,Initial,Other BzNSNs
CCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.21,19,44.290000000000006,258.245,Initial,Other BzNSNs
